soil_category,rainfall_category,Pathway,NH4_load,crop_category,livestock_category,P_load
0,0,1,0.001496071379013645,-1,3,0.0011292690467148
0,1,1,0.0012047362770036265,-1,3,0.0009071082536941
0,2,1,0.0021639951567642675,-1,3,0.0016172942782828
0,3,1,0.0025645320871969645,-1,3,0.0019173236112946
0,4,1,0.0029426917071587386,-1,3,0.0022078385874675
0,5,1,0.00438178301191431,-1,3,0.0032838458510115
0,0,1,0.004796203528624163,-1,5,0.0027273185765667
0,1,1,0.003882174197235045,-1,5,0.002207563908078
0,2,1,0.007098681578088781,-1,5,0.0040366022879365
0,3,1,0.008514876503941591,-1,5,0.0048419089656592
0,4,1,0.009933099865544274,-1,5,0.0056483690953713
0,5,1,0.01484751893541139,-1,5,0.0084429098904588
1,0,0,0.003867722184872484,-1,3,0.0025867539035103
1,0,1,0.002279222091778727,-1,3,0.0017129331116918
1,1,0,0.004423512451056399,-1,3,0.0029205789226677
1,1,1,0.00171751616413255,-1,3,0.0012880251177906
1,2,0,0.004837400684174292,-1,3,0.0031424883901167
1,2,1,0.0024148137077801947,-1,3,0.0018029572880907
1,3,0,0.006309521061436951,-1,3,0.0040393666752874
1,3,1,0.0032505029813760197,-1,3,0.0024259867068046
1,4,0,0.008428742239245496,-1,3,0.0054474917946979
1,4,1,0.003564328282895881,-1,3,0.0026734776799592
1,5,0,0.009685444871116706,-1,3,0.0063405577370715
1,5,1,0.005400676321507343,-1,3,0.0040478115677412
1,0,0,0.009775530086298207,-1,5,0.0050028915947644
1,0,1,0.007403557480053637,-1,5,0.004209967264217
1,1,0,0.0116116434313531,-1,5,0.0059425721992859
1,1,1,0.005605147713443771,-1,5,0.0031873175089509
1,2,0,0.013196066021715278,-1,5,0.0067534432609982
1,2,1,0.0079524201467854,-1,5,0.0045220731492212
1,3,0,0.018546023917380767,-1,5,0.0094914287361884
1,3,1,0.010863221509341034,-1,5,0.0061772745145126
1,4,0,0.02685970491925111,-1,5,0.0137461795720646
1,4,1,0.012025816842703554,-1,5,0.0068383740343278
1,5,0,0.03261515512495271,-1,5,0.0166916866907577
1,5,1,0.018323794946673074,-1,5,0.0104196633968945
2,0,0,0.006644316903329846,-1,3,0.0044382063849315
2,0,1,0.0013483766590660041,-1,3,0.0010185802950459
2,1,0,0.007577587837057281,-1,3,0.0049792827285986
2,1,1,0.0013480283857071889,-1,3,0.0010126617247469
2,2,0,0.008608266827715315,-1,3,0.0055741986824627
2,2,1,0.001655985771606811,-1,3,0.0012401444993308
2,3,0,0.010734702604388302,-1,3,0.0068894435654351
2,3,1,0.0019080377924277428,-1,3,0.0014319693296163
2,4,0,0.014568149826163116,-1,3,0.009455652776686
2,4,1,0.001855625211713798,-1,3,0.0013984951224254
2,5,0,0.017595563815664194,-1,3,0.0115127455044001
2,5,1,0.0029623440760891883,-1,3,0.002228004711133
2,0,0,0.016947574710416212,-1,5,0.0086733791745191
2,0,1,0.00433420413778231,-1,5,0.0024646067226002
2,1,0,0.020200081569876887,-1,5,0.0103379374220475
2,1,1,0.0043731021482478535,-1,5,0.0024867257310829
2,2,0,0.02386337916877685,-1,5,0.0122127289274561
2,2,1,0.005422896531809133,-1,5,0.0030836819917534
2,3,0,0.0320355870421241,-1,5,0.0163950770680999
2,3,1,0.006300770250855428,-1,5,0.0035828770921168
2,4,0,0.04719693860073944,-1,5,0.0241543082922135
2,4,1,0.006179741096211489,-1,5,0.0035140549373027
2,5,0,0.05894883090049552,-1,5,0.0301686566385435
2,5,1,0.009897541515235156,-1,5,0.0056281491550015
0,0,1,0.007975164603172425,0,4,0.0030386368902376
0,1,1,0.007885382919198871,0,4,0.0030558489948525
0,2,1,0.012364460913193258,0,4,0.0046072653163935
0,3,1,0.01591264677215197,0,4,0.0059248100027119
0,4,1,0.018955504688239158,0,4,0.0071120135638601
0,5,1,0.024969813589220888,0,4,0.0094219654009895
1,0,1,0.014606152148074057,0,4,0.0051594777535494
1,1,1,0.011446294716455236,0,4,0.004173841310689
1,2,1,0.015057951603747788,0,4,0.0054434051795417
1,3,1,0.01979023927774197,0,4,0.0071374760714921
1,4,1,0.028700374219993458,0,4,0.010198108491011
1,5,1,0.028503460059007876,0,4,0.0105349705031691
2,0,0,0.03187354312790077,0,4,0.0091955306258765
2,0,1,0.009286919009489485,0,4,0.0034483853162111
2,1,0,0.04287444370800534,0,4,0.0121238240673005
2,1,1,0.009387888309253965,0,4,0.0035188831779766
2,2,0,0.055114365087018016,0,4,0.015660021969761
2,2,1,0.011078589541227788,0,4,0.0041742247585475
2,3,0,0.07469429432979728,0,4,0.0212187723241987
2,3,1,0.012815395966356245,0,4,0.0049294722859658
2,4,0,0.09244738581108924,0,4,0.0262955557204315
2,4,1,0.014881381519682832,0,4,0.0058225213258231
2,5,0,0.11193280746265857,0,4,0.031872640918284
2,5,1,0.017750627343575444,0,4,0.0070981217162691
0,0,1,0.011309654382626292,4,1,0.0064306062335722
0,1,1,0.012452042213727157,4,1,0.0066586728114181
0,2,1,0.01700773531334857,4,1,0.008634924469783
0,3,1,0.02226898321591599,4,1,0.0106465936087652
0,4,1,0.027155546948801984,4,1,0.0125048777239366
0,5,1,0.03669708654167012,4,1,0.0164716263444746
0,0,1,0.0136466777242021,4,2,0.0080918413590026
0,1,1,0.014250959641743095,4,2,0.0082049349173348
0,2,1,0.018734612816083903,4,2,0.0102631808631884
0,3,1,0.02347625173035474,4,2,0.0122507242028891
0,4,1,0.02809622130978558,4,2,0.0141496120560904
0,5,1,0.03677679457539069,4,2,0.017905000660901
0,0,1,0.007250048996020843,4,3,0.0068158141257647
0,1,1,0.007514359667418102,4,3,0.0065202895868352
0,2,1,0.013123678458179914,4,3,0.0111914171780563
0,3,1,0.01787045409400965,4,3,0.0147078405857669
0,4,1,0.02082898233154401,4,3,0.0167667982418993
0,5,1,0.030872825351670907,4,3,0.0253472283642941
0,0,1,0.007975164603172425,4,4,0.0030386368902376
0,1,1,0.007885382919198871,4,4,0.0030558489948525
0,2,1,0.012364460913193258,4,4,0.0046072653163935
0,3,1,0.01591264677215197,4,4,0.0059248100027119
0,4,1,0.018955504688239158,4,4,0.0071120135638601
0,5,1,0.024969813589220888,4,4,0.0094219654009895
0,0,1,0.0205875424656197,4,5,0.0256065196273336
0,1,1,0.02507981744523559,4,5,0.0252526347300259
0,2,1,0.04782439995946081,4,5,0.044868683960531
0,3,1,0.06283190771117379,4,5,0.0595198343308091
0,4,1,0.07100746849937849,4,5,0.0657175571113462
0,5,1,0.10509871175622765,4,5,0.1038904679772915
1,0,1,0.015232949026624105,4,1,0.0082758460293404
1,1,1,0.014925431756940395,4,1,0.0075214357504483
1,2,1,0.018937794509667292,4,1,0.0092690496970209
1,3,1,0.024844764407611145,4,1,0.0116306046153559
1,4,1,0.034150192532797274,4,1,0.0152926826908969
1,5,1,0.03956061729374524,4,1,0.0175807774960517
1,0,1,0.01874257792840391,4,2,0.0106418875483591
1,1,1,0.016865899320085722,4,2,0.0094092184945194
1,2,1,0.020702566226148748,4,2,0.0111563586344709
1,3,1,0.026355512172943397,4,2,0.0136168301736573
1,4,1,0.035996729819671024,4,2,0.0178860576772186
1,5,1,0.03992219725772389,4,2,0.0193696243808193
1,0,1,0.012763684662435788,4,3,0.0115259730086591
1,1,1,0.010834599026370816,4,3,0.0087155934541512
1,2,1,0.015735005180137984,4,3,0.012850082577463
1,3,1,0.02140725280901261,4,3,0.0172797072015204
1,4,1,0.029712996504530603,4,3,0.0235008275664649
1,5,1,0.034421878631961,4,3,0.0281158504403672
1,0,1,0.014606152148074057,4,4,0.0051594777535494
1,1,1,0.011446294716455236,4,4,0.004173841310689
1,2,1,0.015057951603747788,4,4,0.0054434051795417
1,3,1,0.01979023927774197,4,4,0.0071374760714921
1,4,1,0.028700374219993458,4,4,0.010198108491011
1,5,1,0.028503460059007876,4,4,0.0105349705031691
1,0,1,0.04673405567327486,4,5,0.0367846667879714
1,1,1,0.03741038054313491,4,5,0.030663943367405
1,2,1,0.05538894185993454,4,5,0.0489278246410342
1,3,1,0.07331246011510707,4,5,0.0654859257260642
1,4,1,0.09835952027937658,4,5,0.0812890077649177
1,5,1,0.11567839467428978,4,5,0.1099142676633109
2,0,0,0.013147885782283836,4,1,0.0060274403997475
2,0,1,0.012032586639768559,4,1,0.0066709282031338
2,1,0,0.026978984670994757,4,1,0.0080013415727296
2,1,1,0.013778597008687627,4,1,0.0069932891517452
2,2,0,0.034566020973315056,4,1,0.0113188146051306
2,2,1,0.01648623836024605,4,1,0.0082159440869246
2,3,0,0.05360236071998802,4,1,0.0177831944250007
2,3,1,0.02052757912799743,4,1,0.0098219159231057
2,4,0,0.06999130609441152,4,1,0.0238898046594045
2,4,1,0.024633346012576773,4,1,0.0114797371372461
2,5,0,0.08823510372838306,4,1,0.0307805900760823
2,5,1,0.03170978278931701,4,1,0.0144699614140792
2,0,0,0.022113075731447634,4,2,0.0108313352071366
2,0,1,0.014407738559337531,4,2,0.0084473482308838
2,1,0,0.03140508905220759,4,2,0.0136002618851235
2,1,1,0.015387274157622194,4,2,0.0086685843568056
2,2,0,0.04067961515450064,4,2,0.0177411548780596
2,2,1,0.017750851591015023,4,2,0.009718220404928
2,3,0,0.0596963641364485,4,2,0.0253548885271625
2,3,1,0.021240755953808133,4,2,0.0111334929227402
2,4,0,0.07730864296617651,4,2,0.0326063321098457
2,4,1,0.025164654162713875,4,2,0.0127375916533342
2,5,0,0.09783612230714525,4,2,0.0411720403832111
2,5,1,0.031123350433710395,4,2,0.0152353834582317
2,0,0,0.035148113329694586,4,3,0.0334098998105124
2,0,1,0.008337066624601328,4,3,0.0074832513317764
2,1,0,0.05312631200873789,4,3,0.0404458844161092
2,1,1,0.009171558818508603,4,3,0.0073471940836909
2,2,0,0.06219617108691155,4,3,0.0478253821829959
2,2,1,0.012451551386694076,4,3,0.0102818215972181
2,3,0,0.07982651568149512,4,3,0.0581753993162051
2,3,1,0.015533554439356065,4,3,0.0127548372282853
2,4,0,0.09459090333579,4,3,0.0673175334268589
2,4,1,0.017410568144705724,4,3,0.0142238877694449
2,5,0,0.11249895202038317,4,3,0.0786843690561428
2,5,1,0.024704147571036606,4,3,0.0207143856598224
2,0,0,0.03187354312790077,4,4,0.0091955306258765
2,0,1,0.009286919009489485,4,4,0.0034483853162111
2,1,0,0.04287444370800534,4,4,0.0121238240673005
2,1,1,0.009387888309253965,4,4,0.0035188831779766
2,2,0,0.055114365087018016,4,4,0.015660021969761
2,2,1,0.011078589541227788,4,4,0.0041742247585475
2,3,0,0.07469429432979728,4,4,0.0212187723241987
2,3,1,0.012815395966356245,4,4,0.0049294722859658
2,4,0,0.09244738581108924,4,4,0.0262955557204315
2,4,1,0.014881381519682832,4,4,0.0058225213258231
2,5,0,0.11193280746265857,4,4,0.031872640918284
2,5,1,0.017750627343575444,4,4,0.0070981217162691
2,0,0,0.09698179913150312,4,5,0.0496460691721305
2,0,1,0.03254997363622105,4,5,0.0273621893627642
2,1,0,0.1276342360809287,4,5,0.0657536625977242
2,1,1,0.03182005278126556,4,5,0.0272432756342744
2,2,0,0.16154635703101938,4,5,0.0827195239900856
2,2,1,0.04440637250596257,4,5,0.0426765002933384
2,3,0,0.21938148131855192,4,5,0.1123687008397317
2,3,1,0.05444021262642801,4,5,0.054743215410575
2,4,0,0.2732870845687811,4,5,0.1400065765459567
2,4,1,0.06017560234685948,4,5,0.059551978934897
2,5,0,0.34475431235205095,4,5,0.176638228685534
2,5,1,0.08609652483118477,4,5,0.0930744559795107
